,AuthorName,AuthorProb
File_2870,Author_2,0.3183250955427239
File_798,Author_2,0.2192337924497647
File_967,Author_2,0.6064298416447363
File_1007,Author_2,0.6871781940967223
File_1671,Author_2,0.3343762868947783
File_338,Author_2,0.2615443542447149
File_3332,Author_2,0.2839833949294469
File_3832,Author_2,0.3582916098725286
File_3607,Author_2,0.3629405578802394
File_1796,Author_2,0.18842516985770075
File_3734,Author_2,0.06394311901059202
File_2290,Author_2,0.1367718924245649
File_3576,Author_2,0.17095099807071956
File_2631,Author_2,0.2834757304758868
File_906,Author_2,0.46629159008117593
File_3794,Author_2,0.2260732832552047
File_3065,Author_2,0.3273666177572251
File_517,Author_2,0.35036421635915715
File_3783,Author_2,0.4458433547611549
File_2758,Author_2,0.42620418318888487
File_2959,Author_2,0.29677298587432743
File_106,Author_2,0.35011332984946486
File_2900,Author_2,0.33217548409408393
File_3052,Author_2,0.2611664039177424
File_942,Author_2,0.26906821994978336
File_681,Author_2,0.4486871614468082
File_193,Author_2,0.3659645615677466
File_1845,Author_2,0.4699325081380491
File_2237,Author_2,0.3762097447127343
File_3466,Author_2,0.39222613826668806
File_469,Author_2,0.46097583954605637
File_3294,Author_2,0.8335677108713913
File_1461,Author_2,0.7279328506718787
File_203,Author_2,0.12218556876690023
File_2839,Author_2,0.37282108113812173
File_452,Author_2,0.45005869336004056
File_1257,Author_2,0.379612286623505
File_717,Author_2,0.2091691309293391
File_3913,Author_2,0.4458876200266325
File_2939,Author_2,0.0948184278844939
File_3239,Author_2,0.22904558273210973
File_3306,Author_2,0.45020165489989994
File_808,Author_2,0.23639090000949214
File_2794,Author_2,0.47581831857252255
File_2912,Author_2,0.2959614192298662
File_395,Author_2,0.27372665348504766
File_175,Author_2,0.3266409989265864
File_2702,Author_2,0.3287999510857399
File_1009,Author_2,0.5676485586260198
File_2761,Author_0,0.5529678801731466
File_1719,Author_0,0.49403265217076453
File_2018,Author_0,0.15582417677782057
File_2005,Author_0,0.5144138733545864
File_1415,Author_0,0.46163490441819555
File_3436,Author_0,0.5404004741336108
File_1638,Author_4,0.44356571985264015
File_3048,Author_4,0.6625354739839315
File_2305,Author_4,0.4592075509215877
File_1136,Author_4,0.40739530723716677
File_661,Author_2,0.37650645661495663
File_1117,Author_2,0.48748256515106747
File_1335,Author_2,0.5412113175350548
File_1411,Author_2,0.31489697329250865
File_3115,Author_2,0.4649531137274092
File_17,Author_2,0.5939236026476582
File_377,Author_2,0.2662276505330391
File_418,Author_2,0.28922579951835004
File_1402,Author_2,0.36753362020518876
File_3421,Author_2,0.26153240379775866
File_591,Author_2,0.09951270091615194
File_596,Author_2,0.3639350894931256
File_1235,Author_2,0.23581667778901072
File_392,Author_2,0.3105021844851079
File_1841,Author_2,0.1983776471317813
File_891,Author_1,0.49530794844418646
File_2522,Author_1,0.5311481084027838
File_1662,Author_1,0.3921862532822279
File_79,Author_1,0.6861892401421575
File_1558,Author_1,0.3602827702148197
File_2781,Author_1,0.43325247204091033
File_3016,Author_1,0.4810434626974882
File_2724,Author_0,0.25338576654682965
File_3352,Author_0,0.34291456616653304
File_2952,Author_0,0.13179259707844038
File_2308,Author_0,0.5393875526599383
File_3017,Author_0,0.22621396711705866
File_2413,Author_0,0.2455601630594202
File_3603,Author_0,0.2053630488165571
File_974,Author_0,0.4366668473394243
File_2161,Author_0,0.3136571731414812
File_2585,Author_3,0.6359269695994836
File_842,Author_3,0.48255577816522743
File_665,Author_3,0.4962159752229901
File_548,Author_3,0.7052510577347864
File_1969,Author_3,0.3520017047339824
File_528,Author_3,0.11787598810430855
File_1568,Author_2,0.6980054167178104
File_834,Author_2,0.5178678070603596
File_2272,Author_2,0.8022828468080032
File_1099,Author_0,0.5675601216198917
File_1557,Author_0,0.29700700966341453
File_485,Author_0,0.47206025711060606
File_3131,Author_0,0.4596557131874762
File_3767,Author_0,0.4359197777374815
File_1408,Author_1,0.21894027793074777
File_1959,Author_1,0.4870866574472199
File_736,Author_1,0.27846103797305966
File_2743,Author_1,0.392648404294516
File_2942,Author_1,0.5386833174463593
File_2535,Author_1,0.2715421417523004
File_3413,Author_1,0.3944098670664121
File_2528,Author_2,0.6813981725694513
File_2593,Author_2,0.595272360202133
File_249,Author_2,0.7594571868375137
File_677,Author_2,0.4944842564662948
File_182,Author_2,0.6016602431363487
File_3451,Author_2,0.497973114123621
File_1964,Author_2,0.5225813814490624
File_3202,Author_2,0.1726161465060031
File_2292,Author_2,0.11650469931626439
File_1957,Author_2,0.2650447147322985
File_3151,Author_2,0.17792915341063986
File_3915,Author_2,0.5329404498940093
File_2728,Author_2,0.20335242480969484
File_879,Author_2,0.3260634153389611
File_1187,Author_2,0.3007719346319979
File_2859,Author_2,0.38687250054353306
File_676,Author_2,0.13199474750552087
File_2298,Author_2,0.37405515257061017
File_2172,Author_2,0.3351942021322245
File_3682,Author_2,0.4779340638878903
File_704,Author_2,0.3220183924623685
File_279,Author_2,0.37922743610328036
File_2986,Author_2,0.4547689154902831
File_839,Author_2,0.4496026276445374
File_782,Author_2,0.5977074362226514
File_3217,Author_2,0.3274059978069619
File_3190,Author_2,0.6178074112641703
File_3050,Author_2,0.3361423362807012
File_3412,Author_2,0.7851190055588987
File_1330,Author_2,0.7580745895133282
File_1359,Author_2,0.10877951410594389
File_1754,Author_2,0.3617760498175566
File_2246,Author_2,0.08276917114613358
File_1222,Author_2,0.05123075426667967
File_2269,Author_2,0.3144805553920602
File_2183,Author_2,0.17079354731050578
File_2807,Author_2,0.16491012678624062
File_1271,Author_2,0.16269846481970263
File_1777,Author_2,0.08129918637231304
File_1189,Author_2,0.2836484226316276
File_328,Author_2,0.19200554084409238
File_3902,Author_2,0.4048975931070915
File_2879,Author_2,0.4377788873724461
File_3400,Author_2,0.23520762045659205
File_3113,Author_3,0.4894443841851215
File_1352,Author_3,0.37999458591978774
File_3749,Author_3,0.35649228490887386
File_1968,Author_3,0.49179496079248297
File_2991,Author_3,0.4825190273935016
File_1993,Author_3,0.307623409171049
File_3240,Author_3,0.539129503136602
File_367,Author_2,0.6214336594677642
File_2218,Author_2,0.13567239425775635
File_3827,Author_2,0.6089423393576001
File_3893,Author_2,0.46740109404850927
File_1220,Author_2,0.322784758809034
File_2637,Author_2,0.5956978494683336
File_802,Author_2,0.4066708614680169
File_2029,Author_2,0.4064575637203579
File_2856,Author_2,0.12194611993518523
File_2068,Author_2,0.40219098242477036
File_1920,Author_2,0.2717775852925085
File_3209,Author_2,0.47397781253863136
File_1362,Author_2,0.40776597123237757
File_957,Author_2,0.5913536271484329
File_859,Author_2,0.4154642784726241
File_1678,Author_2,0.633561512902944
File_769,Author_2,0.36932126979239543
File_1683,Author_2,0.5252617417865835
File_2274,Author_2,0.5205581055368069
File_1890,Author_2,0.5153638750002052
File_2701,Author_2,0.20410907932980826
File_851,Author_2,0.698750229325865
File_3691,Author_2,0.17676972191566143
File_3663,Author_2,0.7282155998873776
File_3293,Author_2,0.19731537563273582
File_2282,Author_2,0.26969743258387613
File_799,Author_2,0.4700413901324729
File_2321,Author_2,0.2996165061666711
File_55,Author_2,0.09011317300250932
File_1551,Author_2,0.3107239360757831
File_1278,Author_2,0.1555811572191168
File_3951,Author_2,0.5609122107098424
File_3788,Author_2,0.473590692642768
File_2425,Author_2,0.7721560603422967
File_3109,Author_2,0.31971629793339595
File_3740,Author_2,0.5800847235511741
File_3398,Author_2,0.5268288077885113
File_2857,Author_2,0.6852036911759616
File_2104,Author_2,0.7765745401769897
File_296,Author_1,0.37590858253897186
File_2247,Author_1,0.43420715590576786
File_307,Author_1,0.7496664304793064
File_3346,Author_3,0.14464068085915827
File_949,Author_3,0.6086244556919148
File_1071,Author_3,0.1489317991165442
File_173,Author_3,0.2636515777430646
File_3638,Author_2,0.23863697075960233
File_3175,Author_2,0.6765550045531529
File_1854,Author_2,0.19301581017829017
File_3212,Author_2,0.7720121971978795
File_877,Author_2,0.31722199760747594
File_3422,Author_2,0.2884708418167423
File_2566,Author_4,0.45006410601324154
File_1871,Author_4,0.5073038801820857
File_378,Author_4,0.2773574208000231
File_3956,Author_4,0.2729065318451578
File_3732,Author_4,0.42257546225239095
File_3739,Author_4,0.506893824939814
File_693,Author_4,0.16185948056292765
File_3600,Author_2,0.4077320126664452
File_97,Author_2,0.5481710366772296
File_1252,Author_2,0.24029371207552497
File_756,Author_2,0.5848181960508861
File_889,Author_2,0.5124740739468387
File_1429,Author_2,0.20622827972808477
File_3481,Author_2,0.15090802191300678
File_2652,Author_2,0.5831219789704336
File_1915,Author_2,0.22375814275303485
File_2981,Author_2,0.5444741443208634
File_438,Author_2,0.22266158274831982
File_1621,Author_2,0.41735577392187573
File_3668,Author_0,0.5121183707172845
File_776,Author_0,0.17497987272122018
File_2009,Author_0,0.5470941072111595
File_2328,Author_0,0.22990025050643437
File_3879,Author_0,0.30701928276095813
File_1804,Author_0,0.2744768176092597
File_1849,Author_0,0.239878048000694
File_3186,Author_2,0.26967111034604874
File_623,Author_2,0.3097704610256322
File_2611,Author_2,0.6597955068022622
File_1164,Author_2,0.31310472919863375
File_3810,Author_2,0.4890938454171194
File_330,Author_2,0.38640780775228145
File_2683,Author_2,0.33915554685593385
File_1054,Author_2,0.36498404524077444
File_3443,Author_2,0.5234635411068692
File_255,Author_2,0.20038978215253933
File_984,Author_2,0.4638881584309562
File_1055,Author_4,0.37012828901553063
File_3869,Author_4,0.6345224925715717
File_3542,Author_4,0.680882783588415
File_963,Author_4,0.7376423099981135
File_1501,Author_2,0.514378218517587
File_3473,Author_2,0.37777662966418024
File_1168,Author_2,0.5608953928916609
File_2312,Author_2,0.2667922030924387
File_3570,Author_2,0.4945685195965406
File_1302,Author_2,0.2672912749985876
File_744,Author_2,0.40752137722737325
File_12,Author_2,0.3795411423169702
File_3185,Author_2,0.4865438180450855
File_3082,Author_2,0.27704408217631027
File_2616,Author_2,0.4596261299141854
File_3397,Author_2,0.29706098054302155
File_1102,Author_2,0.5799955333901605
File_2311,Author_2,0.32167693260254016
File_1808,Author_2,0.4855157441757465
File_3829,Author_2,0.48032188262982345
File_976,Author_2,0.4750140974275281
File_566,Author_2,0.3693055968528485
File_2443,Author_2,0.6111498402397606
File_586,Author_2,0.32786257014475817
File_1793,Author_2,0.34444252454421287
File_1998,Author_2,0.36798222929008473
File_1991,Author_2,0.3403488100634321
File_1729,Author_2,0.5163272381302504
File_1206,Author_2,0.3304451991556596
File_1709,Author_2,0.7368267295489165
File_232,Author_2,0.6263023792056225
