,file0,file1,file2,file3,file4,file5,file6,file7,file8,file9,file10,file11,file12,file13,file14,file15,file16,file17,file18,file19,AuthorName,AuthorProb
file0,0.0,0.0354,0.0279,0.4232,0.2105,0.1082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.1948
file1,0.0087,0.0,0.0657,0.3765,0.4006,0.0778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.0707
file2,0.1092,0.4086,0.0,0.0721,0.1721,0.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.1102
file3,0.0678,0.009,0.3483,0.0,0.0969,0.4322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.0458
file4,0.224,0.0668,0.0655,0.2505,0.0,0.2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.1486
file5,0.0033,0.1322,0.4887,0.0038,0.1247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.2473
file6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.669,0.1777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.0943
file7,0.0,0.0,0.0,0.0,0.0,0.0,0.5406,0.0,0.0106,0.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.2472
file8,0.0,0.0,0.0,0.0,0.0,0.0,0.1292,0.2049,0.0,0.4602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.2057
file9,0.0,0.0,0.0,0.0,0.0,0.0,0.1484,0.4713,0.3507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author2,0.0296
file10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.4206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author1,0.4534
file11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5588,0.0,0.1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author1,0.2414
file12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4284,0.2341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Author1,0.3375
file13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1108,0.3037,0.0263,0.287,0.0451,0.0615,Author2,0.1656
file14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493,0.0,0.0999,0.243,0.0144,0.0099,0.2293,Author2,0.0542
file15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0732,0.0,0.2671,0.2987,0.1767,0.0594,Author2,0.1217
file16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866,0.0696,0.0804,0.0,0.2361,0.1398,0.1823,Author2,0.1052
file17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274,0.5237,0.0636,0.0292,0.0,0.2741,0.0043,Author2,0.0777
file18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2226,0.0152,0.2749,0.2936,0.1082,0.0,0.0607,Author2,0.0248
file19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2937,0.3219,0.0652,0.1808,0.0845,0.0061,0.0,Author2,0.0478
