,Module0,Module1,Module2,Module3,Module4,Module5
file0,0.0074,0.0,0.0,0.0,0.0,0.0
file3,0.0991,0.0,0.5668,0.0,0.0,0.0
file9,0.1917,0.0,0.0,0.0,0.0,0.0
file18,0.5581,0.0,0.0,0.0,0.0,0.0
file6,0.0438,0.0,0.0,0.0,0.0,0.0
file4,0.0265,0.0,0.0,0.3017,0.4721,0.0
file1,0.0733,0.0,0.0,0.055,0.0,0.2143
file5,0.0,0.1101,0.0,0.0,0.0,0.0
file11,0.0,0.8899,0.2377,0.0,0.5279,0.0
file10,0.0,0.0,0.1955,0.0,0.0,0.0
file12,0.0,0.0,0.0,0.0106,0.0,0.0
file8,0.0,0.0,0.0,0.1398,0.0,0.0716
file13,0.0,0.0,0.0,0.0494,0.0,0.1001
file16,0.0,0.0,0.0,0.4435,0.0,0.0
file7,0.0,0.0,0.0,0.0,0.0,0.6139
